order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD368392,ID3215192021,2019-12-25,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('Thunder line', 2), ('iAssist Line', 1)]",8430,55.57,-37.8083061,144.9488392,25,6378.07,Summer,False,0.5105,sadly i didn't listen to the warnings. the battery ... sadly i didn't listen to the warnings. the battery last 3 months and now needs recharging 2x day. stay away from this company and product.,False
ORD362898,ID0844418490,2019-12-12,Thompson,"[('iStream', 2), ('Olivia x460', 2)]",2750,92.01,-37.8199083,144.94689340000005,5,2704.51,Summer,False,0.8055,goes to crap after month the phone worked great for the first month and now it must wants to keep updating.,True
ORD188469,ID5002594999,2019-11-18,Thompson,"[('Olivia x460', 1), ('Alcon 10', 2), ('Lucent 330S', 2)]",21585,98.82,-37.8126326,144.9518304,10,19525.32,Spring,True,0.4188,,True
ORD400203,ID4110787847,2019-01-28,Bakers,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Olivia x460', 2), ('Universe Note', 2)]",16580,66.41,-37.8101503,144.9965522,0,16646.41,Summer,False,0.1174,excellent. perfect condition,True
ORD415388,ID0441996194,2019-04-13,Bakers,"[('pearTV', 2), ('iStream', 2), ('Thunder line', 1)]",15100,65.94,-37.82098060000001,145.00040380000004,0,15165.94,Autumn,False,1.3046,great phone fits needs perfectly,True
ORD491880,ID0443530294,2019-02-05,Bakers,"[('Thunder line', 2), ('Candle Inferno', 2), ('iStream', 1), ('Universe Note', 2)]",12270,61.08,-37.8145518,145.00464409999995,0,12331.08,Summer,False,1.757,do not buy when i got the product the phone did not work and you couldn’t use it for anything.,False
ORD228053,ID0248746920,2019-10-24,Bakers,"[('iStream', 2), ('pearTV', 1), ('Toshika 750', 2), ('Candle Inferno', 1)]",15680,79.61,-37.8221138,144.99515259999995,15,13407.61,Spring,False,1.3489,"good budget android phone it is a good budget android phone, especially at discount price. the features are decent for basic user i.e. whatsapp, social media usage.",True
ORD007885,ID1964023940,2019-07-22,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2), ('Lucent 330S', 2), ('Alcon 10', 1)]",16720,77.48,-37.8190708,144.9526395,25,12617.48,Winter,False,0.8644,"awesome! rooted it, got rid of the bloatware, and this phone rocks! should last for a long while....",True
ORD147581,ID2441346319,2019-06-27,Bakers,"[('iAssist Line', 1), ('Universe Note', 2)]",9125,80.11,-37.8047445,144.9837319,10,8292.61,Winter,True,1.1682,"i got theses tablets for my grandkids for christmas, they love them.",True
ORD453963,ID0746912592,2019-02-14,Nickolson,"[('Thunder line', 1), ('iAssist Line', 2), ('pearTV', 2), ('iStream', 2)]",19550,81.13,-37.8242095,144.9842075,0,19631.13,Summer,False,1.4323,five stars nice phone!,True
ORD476570,ID5797722961,2019-08-11,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('Olivia x460', 1), ('Candle Inferno', 2)]",10765,75.4,-37.80630120000001,144.9437447,15,9225.65,Winter,True,0.7672,verey good verey good,True
ORD012327,ID2133733623,2019-01-20,Bakers,"[('Toshika 750', 2), ('Candle Inferno', 1), ('iAssist Line', 1), ('iStream', 2)]",11595,67.11,-37.81344710000001,144.9501208,15,9922.86,Summer,False,0.2819,five stars very nice phone ancase,True
ORD060462,ID0356098960,2019-05-20,Bakers,"[('iStream', 1), ('pearTV', 1), ('Lucent 330S', 2), ('Toshika 750', 1)]",13240,69.0,-37.8216928,144.99490419999995,25,9999.0,Autumn,True,1.3024,this is a great phone. i hope it never goes out of ... this is a great phone. i hope it never goes out of stock. great phone for the price,True
