order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD271177,ID0245807240,2019-04-26,Thompson,"[('Universe Note', 2), ('Candle Inferno', 1), ('pearTV', 1)]",13640.0,84.45,-37.7993877,144.9581656,5,13042.45,Autumn,True,1.7719,excellent phone like new!!! everything works and looks great,1.0
ORD021889,ID6167344495,2019-02-23,Nickolson,"[('Alcon 10', 2), ('Universe Note', 1)]",21350.0,96.71,-37.8088053,144.9664365,5,20379.21,Summer,True,1.1237,"a great product. my third olivia, s3, s4 and now the s7 edge. a great product......",1.0
ORD172212,ID4210161059,2019-06-10,Thompson,"[('iAssist Line', 1), ('Lucent 330S', 1), ('iStream', 2)]",3755.0,82.63,-37.8031915,144.9605686,25,2898.88,Winter,True,1.5886,great phone for every day use bought this phone for my husband a while back and he loves it. it is a very sturdy phone and has a great battery life. it is very easy to use and set up.,1.0
ORD230319,ID0575387772,2019-12-13,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 1)]",2890.0,77.87,-37.819644200000006,144.9849259,0,2967.87,Summer,False,1.357,the best phone i have so far. big and clear screen for a pair of aging eyes at a very affordable price. excellent camera.,1.0
ORD091430,ID0650271133,2019-12-15,Nickolson,"[('Lucent 330S', 2), ('pearTV', 1), ('Olivia x460', 1), ('Toshika 750', 2)]",18635.0,93.57,-37.8132615,144.9778051,15,15933.32,Summer,True,0.9377,olivia a70 buy this phone you will love it. almost the same as the s10 but cheaper.,1.0
ORD160757,ID0055725841,2019-06-26,Thompson,"[('Lucent 330S', 2), ('iStream', 1), ('Alcon 10', 2)]",20510.0,77.68,-37.8078054,144.95587319999996,10,18536.68,Winter,True,0.9451,great deal great deal on a good phone,1.0
ORD405509,ID3589872333,2019-05-05,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 1), ('Alcon 10', 2)]",20790.0,54.84,-37.8112338,144.9276275,5,19805.34,Autumn,False,1.7172,the mic and headphone jack stopped working as soon as ... the mic and headphone jack stopped working as soon as i booted up the phone then the phone got stuck in a boot loop not even a week of owning the phone,0.0
ORD210431,ID3131001763,2019-06-14,Bakers,"[('Toshika 750', 2), ('pearTV', 2)]",,52.78,-37.8129111,145.0117771,25,,Winter,False,1.4908,take my advice & do not buy this crap. alcon are known for their touch screen quality but not this one the touch response is worst than an android phone. big mistake should have returned it.,0.0
ORD105811,ID0233315035,2019-05-29,Nickolson,"[('Olivia x460', 1), ('pearTV', 2), ('Alcon 10', 1), ('Thunder line', 1)]",24975.0,,-37.8012268,144.97442030000005,0,25059.57,Autumn,True,1.9802,five stars love my phone,1.0
ORD253390,ID0247028852,2019-12-14,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 2), ('Toshika 750', 2), ('Alcon 10', 1)]",22275.0,89.94,-37.8152227,144.9712459,5,21251.19,Summer,True,0.4039,this phone is awesome!! i've had this phone for about 5 days and i love it! it's fast and chargers with spend. i highly recommend it to anybody debating to get this or not,
