order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD383359,ID1879206769,2019-11-01,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('pearTV', 1)]",17530,84.82,-37.80055150000001,144.9608591,0,17614.82,Spring,False,1.8143,"best androuid value for $800 less, l can do anything with this phone that you can do with your note 9, except draw on the screen",True
ORD269252,ID2906505246,2019-07-24,Thompson,"[('Toshika 750', 1), ('Olivia x460', 2)]",6770,58.58,-37.8096867,144.947529,10,6151.58,Winter,True,0.3349,mal funcionamiento el artículo llego en buenas condiciones estéticas pero no funciona el face id y la pantalla tiene flashes y cambia de color. no funciona correctamente,False
ORD484942,ID1492145833,2019-05-18,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1), ('Lucent 330S', 2)]",9230,64.34,-37.8128991,144.9523155,15,7909.84,Autumn,True,0.4621,two stars horrible phone. does not work half the functions.....,False
ORD060784,ID0501040635,2019-08-01,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2)]",2890,65.01,-37.8052843,144.9859229,25,2232.51,Winter,False,0.9723,"nice pick wide screen, able to use it in india as well with 4g, sleek and completely fits it description",True
ORD236160,ID6167417935,2019-01-25,Nickolson,"[('Thunder line', 2), ('Universe Note', 2), ('iStream', 2), ('Toshika 750', 2)]",20200,93.41,-37.8148987,144.9604959,15,17263.41,Summer,True,0.8963,great phone great phone for the cost got it at was brand new as said no fault what so ever will definitely use this seller for phone again...,True
ORD311993,ID1449431574,2019-01-21,Nickolson,"[('Lucent 330S', 1), ('Candle Inferno', 1)]",1660,91.54,-37.81524870000001,144.9747429,10,1585.54,Summer,True,0.5892,nice phone works great,True
ORD071071,ID0576833372,2019-03-27,Nickolson,"[('iStream', 1), ('Universe Note', 1), ('Lucent 330S', 1), ('Candle Inferno', 2)]",5690,66.66,-37.8185829,144.98274009999997,25,4334.16,Autumn,False,1.1598,like new phone came looking and working like it was brand new. it was fully unlocked and wiped. no issues getting it set up. battery life is as expected. no scratches. camera works great.,True
ORD406855,ID3427813818,2019-09-20,Bakers,"[('Candle Inferno', 2), ('iStream', 2)]",1160,74.45,-37.807228,144.99666169999998,10,1118.45,Spring,False,0.3328,works with straight talk brand new phone and works with straight talk. so far great phone for the price. upgraded to android 10.,True
ORD168422,ID0616938660,2019-12-22,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 2)]",3320,76.69,-37.8187166,144.9617144,10,3064.69,Summer,True,0.6892,don't buy. cheap junk only works on speakerphone,False
ORD050176,ID6167413278,2019-07-29,Nickolson,"[('iStream', 1), ('iAssist Line', 2), ('Universe Note', 2)]",11500,64.25,-37.81578629999999,144.95826709999997,0,11564.25,Winter,False,1.0404,really crisp picture. fast and good amout of storage.,True
ORD199604,ID4716795441,2019-01-02,Thompson,"[('iAssist Line', 2), ('iStream', 2), ('Olivia x460', 1)]",5975,58.85,-37.8188621,144.9534438,0,6033.85,Summer,False,0.8882,one star received it,False
ORD193644,ID2451238134,2019-11-27,Thompson,"[('Alcon 10', 1), ('Olivia x460', 1), ('Candle Inferno', 1), ('pearTV', 2)]",23225,100.18,-37.8087165,144.95371619999997,15,19841.43,Spring,True,0.7319,third thunder line purchased. love the product.,True
ORD390705,ID0471441559,2019-08-01,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Alcon 10', 2), ('iStream', 2)]",25110,54.44,-37.8040296,144.9673654,25,18886.94,Winter,False,1.6327,not a good phone phone is unable to be connected to verizon!,False
ORD034287,ID2291074004,2019-09-07,Thompson,"[('Toshika 750', 1), ('iStream', 1)]",4470,55.55,-37.8129131,144.95268869999995,15,3855.05,Spring,False,0.4949,size is not as listed description of product was wrong. the size of the phone was not as listed. i am sending it back,False
ORD080079,ID4716795584,2019-08-18,Thompson,"[('pearTV', 1), ('iAssist Line', 1), ('Olivia x460', 1), ('iStream', 1)]",9910,78.61,-37.8188479,144.9532874,0,9988.61,Winter,True,0.8783,work great great quality!,True
ORD018305,ID1833110279,2019-05-15,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 2), ('Candle Inferno', 2)]",7760,76.78,-37.8178063,144.9660039,0,7836.78,Autumn,True,0.324,awesome quality for price high quality. has a heavier feel like something made with quality products. doesn't get warm at all. camera needs to be tried with different settings. i leave it manual. love the big screen and big keyboard.,True
